Name,ediSONPortCode,ModeOfTransport,CountryCode,LocationDescription,Enabled
IDBOA,BOAID,SEA,ID,BENOA,Y
IDDJB,DJBID,SEA,ID,JAMBI,Y
IDJKT,JKTID,SEA,ID,JAKARTA,Y
IDMAK,MAKID,SEA,ID,MAKASSAR,Y
IDMRK,MRKID,SEA,ID,"MERAK, JAVA",Y
IDPDG,PDGID,SEA,ID,PADANG,Y
IDPNJ,PNJID,SEA,ID,PANJANG,Y
IDPWG,PWGID,SEA,ID,PERAWANG,Y
IDSRG,SRGID,SEA,ID,SEMARANG,Y
IDSUB,SUBID,SEA,ID,SURABAYA,Y
IDTTI,TTIID,SEA,ID,TEBING TINGGI JAMBI,Y
IDXXX,XXXID,SEA,ID,INDONESIA BASELINE,Y
IEBEF,BEFIE,SEA,IE,BELFAST NORTHERN IRELAND,Y
IEDUB,DUBIE,SEA,IE,"DUBLIN,IE",Y
IEKLK,KLKIE,SEA,IE,KILKENNY,Y
IEORK,ORKIE,SEA,IE,CORK CO CORK,Y
ILASH,ASHIL,SEA,IL,ASHDOD,Y
ILHFA,HFAIL,SEA,IL,HAIFA,Y
INBOM,BOMIN,SEA,IN,MUMBAI,Y
INCCU,CCUIN,SEA,IN,KOLKATA,Y
INCOK,COKIN,SEA,IN,COCHIN,Y
INENR,ENRIN,SEA,IN,ENNORE,Y
INHAL,HALIN,SEA,IN,HALDIA PORT,Y
INHZR,HZRIN,SEA,IN,HAZIRA,Y
INICD,ICDIN,SEA,IN,NEW DELHI,Y
INIXE,IXEIN,SEA,IN,MANGALORE,Y
INKAK,KAKIN,SEA,IN,KAKINADA,Y
INKAT,KATIN,SEA,IN,KATTUPALLI,Y
INKRI,KRIIN,SEA,IN,KRISHNAPATNAM,Y
INMAA,MAAIN,SEA,IN,CHENNAI,Y
INMAD,MADIN,SEA,IN,"MADRAS,IN",Y
INMRM,MRMIN,SEA,IN,MARMAGAO,Y
INMUN,MUNIN,SEA,IN,MUNDRA,Y
INNML,NMLIN,SEA,IN,NEW MANGALORE,Y
INNS1,NS1IN,SEA,IN,NHAVA SHEVA,Y
INNSA,NSAIN,SEA,IN,JAWAHARLAL NEHRU,Y
INPAV,PAVIN,SEA,IN,PIPAVAV,Y
INTUT,TUTIN,SEA,IN,TUTICORIN,Y
INVTZ,VTZIN,SEA,IN,VISAKHAPATNAM,Y
IQBSR,BSRIQ,SEA,IQ,BASRA,Y
IQUQR,UQRIQ,SEA,IQ,UMM QASR,Y
IRBND,BNDIR,SEA,IR,BANDAR ABBAS,Y
IRBUZ,BUZIR,SEA,IR,BUSHEHR,Y
IRKHO,KHOIR,SEA,IR,KHORRAMSHAHR,Y
IRMRX,MRXIR,SEA,IR,BANDAR-E MAHSHAHR,Y
ITAOI,AOIIT,SEA,IT,ANCONA,Y
ITBRI,BRIIT,SEA,IT,BARI,Y
ITCTA,CTAIT,SEA,IT,CATANIA,Y
ITCVV,CVVIT,SEA,IT,CIVITAVECCHIA,Y
ITGIT,GITIT,SEA,IT,GIOIA TAURO,Y
ITGOA,GOAIT,SEA,IT,GENOA,Y
ITLIV,LIVIT,SEA,IT,LIVORNO,Y
ITNAP,NAPIT,SEA,IT,NAPLES,Y
ITRAN,RANIT,SEA,IT,RAVENNA,Y
ITSAL,SALIT,SEA,IT,SALERNO,Y
ITSPE,SPEIT,SEA,IT,LA SPEZIA,Y
ITTRS,TRSIT,SEA,IT,TRIESTE,Y
ITVCE,VCEIT,SEA,IT,VENEZIA,Y
ITVDL,VDLIT,SEA,IT,VADO LIGURE,Y
JMKIN,KINJM,SEA,JM,"KINGSTON,JM",Y
JMMNB,MNBJM,SEA,JM,MONTEGO BAY,Y
JOAQJ,AQJJO,SEA,JO,AQABA,Y
JPHKT,HKTJP,SEA,JP,HAKATA,Y
JPMOJ,MOJJP,SEA,JP,MOJI,Y
JPNGO,NGOJP,SEA,JP,NAGOYA,Y
JPOMZ,OMZJP,SEA,JP,OMAEZAKI,Y
JPOSA,OSAJP,SEA,JP,OSAKA,Y
JPSDJ,SDJJP,SEA,JP,SENDAI,Y
JPSMZ,SMZJP,SEA,JP,SHIMIZU,Y
JPTMK,TMKJP,SEA,JP,TOMAKOMAI,Y
JPTYO,TYOJP,SEA,JP,TOKYO,Y
JPUKB,UKBJP,SEA,JP,KOBE,Y
JPYKK,YKKJP,SEA,JP,YOKKAICHI,Y
JPYOK,YOKJP,SEA,JP,YOKOHAMA,Y
KEMBA,MBAKE,SEA,KE,MOMBASA,Y
KHPNH,PNHKH,SEA,KH,PHNOM PENH,Y
KHSIH,SIHKH,SEA,KH,SIHANOUKVILLE,Y
KNBAS,BASKN,SEA,KN,"BASSETERRE, ST KITTS",Y
KRICH,ICHKR,SEA,KR,INCHEON,Y
KRKAN,KANKR,SEA,KR,GWANGYANG,Y
KRKPO,KPOKR,SEA,KR,POHANG,Y
KRKWA,KWAKR,SEA,KR,KWANGYANG,Y
KRPTK,PTKKR,SEA,KR,PYEONGTAEK,Y
KRPUS,PUSKR,SEA,KR,BUSAN,Y
KWSAA,SAAKW,SEA,KW,SHUAIBA,Y
KWSWK,SWKKW,SEA,KW,SHUWAIKH,Y
KYGEO,GEOKY,SEA,KY,"GEORGETOWN, CAYMAN ISLANDS",Y
LBBEY,BEYLB,SEA,LB,BEIRUT,Y
LBKYE,KYELB,SEA,LB,"TRIPOLI,JL,LB",Y
LCCAS,CASLC,SEA,LC,CASTRIES,Y
LKCMB,CMBLK,SEA,LK,COLOMBO,Y
LRMLW,MLWLR,SEA,LR,"MONROVIA,LR",Y
LTKLJ,KLJLT,SEA,LT,KLAIPEDA,Y
LVRIX,RIXLV,SEA,LV,RIGA,Y
LYBEN,BENLY,SEA,LY,BINGAZI (BENGHAZI),Y
LYKHM,KHMLY,SEA,LY,KHOMS,Y
LYMRA,MRALY,SEA,LY,MISURATAH,Y
LYTIP,TIPLY,SEA,LY,"TRIPOLI,LY",Y
LYTOB,TOBLY,SEA,LY,TOBRUK,Y
MAAGA,AGAMA,SEA,MA,AGADIR,Y
MACAS,CASMA,SEA,MA,CASABLANCA,Y
MATNG,TNGMA,SEA,MA,PORT TANGIER MEDITERRANEE,Y
MEBAR,BARME,SEA,ME,BAR,Y
MMRGN,RGNMM,SEA,MM,YANGON,Y
MMTAL,TALMM,SEA,MM,THILAWA,Y
MMXXX,XXXMM,SEA,MM,MYANMAR/BRUNEI DARUSSALAM BASELINE,Y
MOMFM,MFMMO,SEA,MO,MACAU,Y
MRNBU,NBUMR,SEA,MR,NOUADHIBOU,Y
MRNKC,NKCMR,SEA,MR,NOUAKCHOTT,Y
MTMAR,MARMT,SEA,MT,MARSAXLOKK,Y
MTMLA,MLAMT,SEA,MT,MALTA,Y
